City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Port Macquarie,AU,70.0,few clouds,-31.43,152.92,Rydges Port Macquarie
16,Ciudad Bolivar,VE,77.85,overcast clouds,8.12,-63.55,Hotel Edi
19,Yining,CN,70.09,clear sky,29.04,114.56,Xiushui Hotel
23,Esperance,AU,75.2,scattered clouds,-33.87,121.9,Hospitality Esperance
27,Rikitea,PF,72.79,light rain,-23.12,-134.97,Pension Maro'i
29,Adrar,MR,76.46,broken clouds,20.5,-10.07,
30,Hobart,AU,79.0,clear sky,-42.88,147.33,St Ives Hobart Accommodation Tasmania
31,Butaritari,KI,82.06,clear sky,3.07,172.79,Isles Sunset Lodge
32,Vaini,TO,78.8,few clouds,-21.2,-175.2,Keleti Beach Resort
34,Victoria,HK,82.99,few clouds,22.29,114.16,Mini Hotel Central
35,Hilo,US,75.2,overcast clouds,19.73,-155.09,Hilo Hawaiian Hotel
36,Georgetown,MY,84.2,light rain,5.41,100.34,Cititel Penang
38,Atuona,PF,77.65,scattered clouds,-9.8,-139.03,Villa Enata
47,Sao Felix Do Xingu,BR,72.39,light rain,-6.64,-51.99,Apart Hotel Rio Xingu
48,Rio Cauto,CU,75.2,few clouds,20.56,-76.92,
49,Takoradi,GH,77.23,light rain,4.88,-1.76,Raybow International Hotel
50,New Norfolk,AU,79.0,scattered clouds,-42.78,147.06,The Shingles Riverside Cottages
57,Bitung,ID,87.8,scattered clouds,1.45,125.18,Peoplesight Learning Center ( PLC )
60,Victor Harbor,AU,79.0,scattered clouds,-35.57,138.62,Apollon Motor Inn
63,Faanui,PF,77.54,overcast clouds,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
65,Hithadhoo,MV,84.6,moderate rain,-0.6,73.08,Scoop Guest House
66,Kahului,US,77.0,few clouds,20.89,-156.47,Maui Seaside Hotel
68,Fare,PF,79.65,overcast clouds,-16.7,-151.02,Maitai Lapita Village Huahine
72,Saint-Philippe,RE,80.6,few clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
74,Anori,BR,73.81,light rain,-3.77,-61.64,Novo Hotel 05 Irmaos
77,Umm Kaddadah,SD,72.99,scattered clouds,13.6,26.69,
95,Dingle,PH,84.99,overcast clouds,11.0,122.67,SEGAYA PROPERTY
100,Luanda,AO,75.2,broken clouds,-8.84,13.23,EPIC SANA Luanda
103,Yangambi,CD,71.92,overcast clouds,0.81,24.43,
110,Mahebourg,MU,75.2,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
113,Carnarvon,AU,77.0,scattered clouds,-24.87,113.63,Hospitality Carnarvon
115,Lodja,CD,72.27,overcast clouds,-3.48,23.43,
116,Tuy Hoa,VN,75.18,moderate rain,13.08,109.3,CenDeluxe Hotel Tuy Hoa
121,San Patricio,US,72.0,clear sky,28.02,-97.52,"Motel 6 Sinton, TX"
122,Zemio,CF,73.69,broken clouds,5.03,25.14,
123,Choma,ZM,86.38,overcast clouds,-16.81,26.95,Kamuboola Lodge
124,Kapaa,US,78.8,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
126,Kavieng,PG,84.4,scattered clouds,-2.57,150.8,Nusa Island Retreat
128,Sao Filipe,CV,79.3,clear sky,14.9,-24.5,Tortuga B&B
129,Pilar,BR,77.0,broken clouds,-9.6,-35.96,Pousada e churrascaria Manguaba
132,Sinnamary,GF,77.97,clear sky,5.38,-52.95,ALETHEIA Appartement Sinnamary
135,Port Lincoln,AU,76.86,scattered clouds,-34.73,135.87,Port Lincoln Hotel
141,Galle,LK,84.92,scattered clouds,6.04,80.22,Amangalla
142,Souillac,MU,75.2,shower rain,-20.52,57.52,Bils' Villa
143,Kariba,ZW,89.15,broken clouds,-16.52,28.8,Caribbea Bay Hotel
144,Richards Bay,ZA,74.93,overcast clouds,-28.78,32.04,BON Hotel Waterfront Richards Bay
145,Kerema,PG,82.08,overcast clouds,-7.96,145.78,Elore Lodge
146,Tiarei,PF,78.8,broken clouds,-17.53,-149.33,Le Rocher de Tahiti
147,Cayenne,GF,75.2,clear sky,4.93,-52.33,Hôtel Le Dronmi
149,Kampene,CD,74.03,overcast clouds,-3.6,26.67,
150,Matale,LK,81.79,moderate rain,7.47,80.62,Anil's Inn
153,Male,MV,86.0,broken clouds,4.17,73.51,Hotel Octave Maldives
154,Bambous Virieux,MU,79.0,shower rain,-20.34,57.76,Casa Tia Villa
155,Kalmunai,LK,86.18,broken clouds,7.42,81.82,VS Villa
161,Avarua,CK,75.2,overcast clouds,-21.21,-159.78,Paradise Inn
162,Eyl,SO,84.58,clear sky,7.98,49.82,Amiin Hotel
164,Bengkulu,ID,79.84,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
169,Ternate,ID,83.41,broken clouds,0.8,127.4,Grand Dafam Bela Ternate
170,Berbera,SO,82.15,few clouds,10.44,45.01,Damal Hotel
