City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kuusamo,FI,65.97,29.18,32.0,90,90,10.29,overcast clouds
1,Port Macquarie,AU,-31.43,152.92,70.0,46,13,11.41,few clouds
2,Garden City,US,42.33,-83.33,57.99,71,1,5.82,clear sky
3,Westport,US,41.14,-73.36,48.2,87,1,2.73,clear sky
4,Ushuaia,AR,-54.8,-68.3,39.2,94,75,17.22,broken clouds
5,Puerto Ayora,EC,-0.74,-90.35,68.0,89,44,1.99,scattered clouds
6,Faya,SA,18.39,42.45,66.2,39,0,4.63,clear sky
7,Port Hedland,AU,-20.32,118.57,95.0,23,0,19.46,clear sky
8,Nantucket,US,41.28,-70.1,48.2,93,1,3.36,fog
9,Bredasdorp,ZA,-34.53,20.04,53.6,66,2,8.05,clear sky
10,Hasaki,JP,35.73,140.83,62.6,36,75,6.93,broken clouds
11,Geraldton,AU,-28.77,114.6,68.0,77,90,24.16,light rain
12,Palana,RU,59.12,159.97,22.75,93,3,12.06,clear sky
13,Yellowknife,CA,62.46,-114.35,28.4,86,75,13.87,broken clouds
14,Divnoye,RU,45.91,43.35,48.13,74,0,13.71,clear sky
15,Busselton,AU,-33.65,115.33,61.0,80,100,4.0,overcast clouds
16,Ciudad Bolivar,VE,8.12,-63.55,77.85,87,100,2.93,overcast clouds
17,Mataura,NZ,-46.19,168.86,55.0,73,87,7.0,overcast clouds
18,Tynda,RU,55.17,124.72,5.31,87,0,2.95,clear sky
19,Yining,CN,29.04,114.56,70.09,33,0,5.26,clear sky
20,Istanbul,TR,41.04,28.98,59.0,82,20,6.93,few clouds
21,East London,ZA,-33.02,27.91,59.0,93,75,14.99,light intensity drizzle
22,Beringovskiy,RU,63.05,179.32,21.67,96,71,12.3,broken clouds
23,Esperance,AU,-33.87,121.9,75.2,60,40,12.75,scattered clouds
24,Castelnaudary,FR,43.32,1.95,57.2,93,75,4.7,broken clouds
25,Bonnyville,CA,54.27,-110.73,15.8,84,90,3.36,overcast clouds
26,Sobolevo,RU,54.43,31.9,33.12,91,0,4.05,clear sky
27,Rikitea,PF,-23.12,-134.97,72.79,77,32,17.38,light rain
28,Stornoway,GB,58.21,-6.39,50.0,100,68,1.12,broken clouds
29,Adrar,MR,20.5,-10.07,76.46,18,60,6.78,broken clouds
30,Hobart,AU,-42.88,147.33,79.0,40,0,16.11,clear sky
31,Butaritari,KI,3.07,172.79,82.06,68,8,9.84,clear sky
32,Vaini,TO,-21.2,-175.2,78.8,74,20,6.93,few clouds
33,Rocha,UY,-34.48,-54.33,53.89,94,60,3.42,broken clouds
34,Victoria,HK,22.29,114.16,82.99,30,20,8.05,few clouds
35,Hilo,US,19.73,-155.09,75.2,83,90,3.36,overcast clouds
36,Georgetown,MY,5.41,100.34,84.2,74,20,3.36,light rain
37,Albany,US,42.6,-73.97,46.99,100,1,2.53,clear sky
38,Atuona,PF,-9.8,-139.03,77.65,67,42,12.71,scattered clouds
39,Roswell,US,34.02,-84.36,66.99,82,1,6.93,clear sky
40,Patitirion,GR,39.15,23.87,62.6,67,40,12.75,scattered clouds
41,Guzelyurt,TR,38.28,34.37,33.8,55,20,2.24,mist
42,Jinxiang,CN,27.43,120.61,64.92,54,0,17.16,clear sky
43,Torbay,CA,47.67,-52.73,33.01,74,20,11.41,few clouds
44,Lavrentiya,RU,65.58,-171.0,27.9,97,93,9.42,overcast clouds
45,Dikson,RU,73.51,80.55,0.77,93,93,14.99,overcast clouds
46,Atyrau,KZ,47.12,51.88,44.6,81,75,20.13,broken clouds
47,Sao Felix Do Xingu,BR,-6.64,-51.99,72.39,94,88,0.4,light rain
48,Rio Cauto,CU,20.56,-76.92,75.2,94,20,8.05,few clouds
49,Takoradi,GH,4.88,-1.76,77.23,86,30,2.8,light rain
50,New Norfolk,AU,-42.78,147.06,79.0,31,38,3.0,scattered clouds
51,Yerbogachen,RU,61.28,108.01,34.48,90,100,8.63,overcast clouds
52,Chokurdakh,RU,70.63,147.92,-15.21,90,98,2.39,overcast clouds
53,Nanortalik,GL,60.14,-45.24,25.5,96,100,27.27,light snow
54,Narsaq,GL,60.92,-46.05,30.2,86,100,3.6,light snow
55,Hermanus,ZA,-34.42,19.23,54.0,82,1,5.26,clear sky
56,Hualmay,PE,-11.1,-77.61,59.86,89,74,4.63,broken clouds
57,Bitung,ID,1.45,125.18,87.8,62,40,8.05,scattered clouds
58,Barrow,US,71.29,-156.79,15.8,78,90,24.16,overcast clouds
