City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Porto Nacional,BR,2020-11-09 02:22:57,-10.71,-48.42,80.6,69,20,4.7
1,Rikitea,PF,2020-11-09 02:22:57,-23.12,-134.97,72.99,78,100,15.23
2,Castro,BR,2020-11-09 02:22:43,-24.79,-50.01,64.58,68,43,6.44
3,Atuona,PF,2020-11-09 02:22:58,-9.8,-139.03,77.68,64,74,12.53
4,Tuktoyaktuk,CA,2020-11-09 02:22:58,69.45,-133.04,14.0,92,75,8.05
5,Carnarvon,AU,2020-11-09 02:22:58,-24.87,113.63,71.6,60,90,12.75
6,Ribeira Grande,PT,2020-11-09 02:22:58,38.52,-28.7,61.16,65,46,13.22
7,Manokwari,ID,2020-11-09 02:22:58,-0.87,134.08,85.06,67,100,9.82
8,Hammerfest,NO,2020-11-09 02:22:58,70.66,23.68,39.2,92,75,40.26
9,Lompoc,US,2020-11-09 02:22:42,34.64,-120.46,53.6,66,75,12.75
10,Torbay,CA,2020-11-09 02:22:59,47.67,-52.73,34.0,68,20,11.41
11,Ushuaia,AR,2020-11-09 02:18:57,-54.8,-68.3,42.8,56,75,27.51
12,Cape Town,ZA,2020-11-09 02:22:59,-33.93,18.42,53.01,62,20,4.7
13,Albany,US,2020-11-09 02:20:24,42.6,-73.97,53.01,93,1,2.17
14,San Vicente,AR,2020-11-09 02:23:01,-26.62,-54.13,72.75,47,91,2.71
15,Baijiantan,CN,2020-11-09 02:23:01,45.63,85.18,42.19,57,72,7.11
16,Los Palacios,CU,2020-11-09 02:23:01,22.59,-83.25,74.71,91,53,7.25
17,Pevek,RU,2020-11-09 02:23:01,69.7,170.31,16.86,94,100,3.36
18,Raahe,FI,2020-11-09 02:20:02,64.68,24.48,36.0,74,0,5.82
19,Mataura,NZ,2020-11-09 02:23:01,-46.19,168.86,57.0,68,96,5.01
20,Port Alfred,ZA,2020-11-09 02:23:02,-33.59,26.89,62.91,82,100,13.67
21,Alice Town,BS,2020-11-09 02:23:02,25.72,-79.3,79.2,85,100,40.6
22,Husavik,IS,2020-11-09 02:23:02,66.04,-17.34,28.4,79,0,2.24
23,Cabo San Lucas,MX,2020-11-09 02:23:02,22.89,-109.91,78.8,73,5,16.11
24,Blagoyevo,RU,2020-11-09 02:23:02,63.37,47.92,33.62,91,96,11.52
25,Karasjok,NO,2020-11-09 02:23:02,69.47,25.51,39.2,69,100,27.51
26,Arraial Do Cabo,BR,2020-11-09 02:23:04,-22.97,-42.03,74.14,92,97,12.37
27,Yellowknife,CA,2020-11-09 02:20:45,62.46,-114.35,28.4,79,75,14.99
28,Bambanglipuro,ID,2020-11-09 02:23:04,-7.95,110.28,84.61,69,81,9.37
29,Suhbaatar,MN,2020-11-09 02:23:04,50.23,106.21,29.89,90,0,2.89
30,Constitucion,CL,2020-11-09 02:23:04,-35.33,-72.42,56.17,71,95,10.04
31,Russell,US,2020-11-09 02:23:05,32.35,-85.2,71.6,83,40,6.93
32,Barrow,US,2020-11-09 02:21:04,71.29,-156.79,15.8,78,90,23.04
33,Coihaique,CL,2020-11-09 02:23:06,-45.58,-72.07,57.2,58,0,2.24
34,Bonavista,CA,2020-11-09 02:23:06,48.65,-53.11,35.01,79,100,5.82
35,Durango,MX,2020-11-09 02:22:04,24.83,-104.83,60.67,45,0,5.5
36,Leningradskiy,RU,2020-11-09 02:23:07,69.38,178.42,20.14,94,100,6.49
37,Poronaysk,RU,2020-11-09 02:23:07,49.22,143.12,28.85,82,48,10.2
38,Avarua,CK,2020-11-09 02:23:07,-21.21,-159.78,80.6,69,80,5.82
39,Paszto,HU,2020-11-09 02:23:07,47.92,19.7,32.0,81,8,2.35
40,Sur,OM,2020-11-09 02:23:07,22.57,59.53,74.44,65,0,1.43
41,Bluff,NZ,2020-11-09 02:23:07,-46.6,168.33,57.0,68,91,5.01
42,Talnakh,RU,2020-11-09 02:23:08,69.49,88.4,24.8,92,40,20.13
43,Aklavik,CA,2020-11-09 02:23:08,68.22,-135.01,21.2,79,100,6.93
44,Te Anau,NZ,2020-11-09 02:18:24,-45.42,167.72,60.64,50,54,4.9
45,Zdvinsk,RU,2020-11-09 02:23:08,54.7,78.66,36.14,84,35,17.22
46,Bredasdorp,ZA,2020-11-09 02:23:08,-34.53,20.04,50.0,76,67,6.93
47,Winsum,NL,2020-11-09 02:23:08,53.33,6.52,43.0,100,78,3.36
48,Ahipara,NZ,2020-11-09 02:23:08,-35.17,173.17,60.04,80,96,13.56
49,Punta Arenas,CL,2020-11-09 02:22:53,-53.15,-70.92,42.8,75,90,14.99
50,Ahuimanu,US,2020-11-09 02:23:09,21.44,-157.84,86.0,58,75,10.29
51,Cedar City,US,2020-11-09 02:23:09,37.68,-113.06,28.4,74,75,5.82
52,Vaini,TO,2020-11-09 02:23:09,-21.2,-175.2,82.4,69,20,8.05
53,Busselton,AU,2020-11-09 02:23:09,-33.65,115.33,64.0,77,100,20.69
54,Waipawa,NZ,2020-11-09 02:23:09,-41.41,175.52,55.4,62,99,26.4
55,Saskylakh,RU,2020-11-09 02:23:09,71.92,114.08,-5.51,86,92,15.61
56,Lerwick,GB,2020-11-09 02:23:10,60.15,-1.15,51.8,93,100,14.99
57,Severo-Kurilsk,RU,2020-11-09 02:23:10,50.68,156.12,36.82,80,100,17.85
58,Patan,NP,2020-11-09 02:23:10,27.67,85.33,51.8,93,20,2.24
59,Doume,CM,2020-11-09 02:23:10,4.23,13.45,65.77,83,69,1.34
60,Puerto Baquerizo Moreno,EC,2020-11-09 02:23:10,-0.9,-89.6,66.81,82,18,10.76
61,New Norfolk,AU,2020-11-09 02:20:08,-42.78,147.06,77.0,26,0,4.0
62,Thompson,CA,2020-11-09 02:18:53,55.74,-97.86,10.4,85,90,10.29
63,Dikson,RU,2020-11-09 02:23:11,73.51,80.55,0.72,92,96,13.22
64,Iqaluit,CA,2020-11-09 02:23:11,63.75,-68.51,17.6,72,90,9.17
65,Kapaa,US,2020-11-09 02:23:11,22.08,-159.32,82.4,69,40,13.87
66,Butaritari,KI,2020-11-09 02:23:11,3.07,172.79,81.9,65,2,8.3
67,Emba,KZ,2020-11-09 02:23:11,48.83,58.14,40.1,77,100,22.57
68,Hermanus,ZA,2020-11-09 02:23:11,-34.42,19.23,48.0,88,63,10.22
69,Kamaishi,JP,2020-11-09 02:23:12,39.27,141.88,42.8,75,75,5.82
70,Esperance,AU,2020-11-09 02:23:12,-33.87,121.9,84.2,42,40,19.46
71,Deputatskiy,RU,2020-11-09 02:23:12,69.3,139.9,-15.59,90,43,3.18
72,Lamu,KE,2020-11-09 02:23:12,-2.27,40.9,77.0,94,40,4.94
73,Vanimo,PG,2020-11-09 02:23:12,-2.67,141.3,87.21,62,55,4.61
74,Okhotsk,RU,2020-11-09 02:23:12,59.38,143.3,7.57,88,9,21.79
75,Alofi,NU,2020-11-09 02:23:13,-19.06,-169.92,80.6,69,75,11.41
76,Bethel,US,2020-11-09 02:23:13,41.37,-73.41,55.0,81,1,3.36
77,Ferrol,ES,2020-11-09 02:23:13,43.48,-8.24,57.2,93,0,4.7
78,Shieli,KZ,2020-11-09 02:23:13,44.17,66.75,35.96,92,0,9.35
79,Tiksi,RU,2020-11-09 02:23:13,71.69,128.87,-9.22,89,9,3.6
80,Kaitangata,NZ,2020-11-09 02:23:13,-46.28,169.85,55.0,68,99,11.01
81,Puerto Escondido,MX,2020-11-09 02:23:04,15.85,-97.07,80.6,78,75,3.36
82,Mestia,GE,2020-11-09 02:23:14,43.05,42.73,39.78,55,0,3.0
83,Mount Isa,AU,2020-11-09 02:23:14,-20.73,139.5,95.0,9,0,5.82
84,Norman Wells,CA,2020-11-09 02:23:14,65.28,-126.83,19.4,92,75,2.24
85,Gillette,US,2020-11-09 02:23:14,44.29,-105.5,25.0,79,90,11.41
86,Saint George,US,2020-11-09 02:20:46,37.1,-113.58,39.99,86,75,5.82
87,Comodoro Rivadavia,AR,2020-11-09 02:23:14,-45.87,-67.5,60.8,67,0,8.37
88,Bambous Virieux,MU,2020-11-09 02:23:15,-20.34,57.76,73.99,88,40,11.41
89,Hovd,MN,2020-11-09 02:23:15,48.01,91.64,29.7,82,32,1.3
90,Guangyuan,CN,2020-11-09 02:23:15,32.44,105.82,57.0,77,0,1.01
91,Puerto Ayora,EC,2020-11-09 02:23:15,-0.74,-90.35,68.0,87,9,7.0
92,Grand Gaube,MU,2020-11-09 02:23:15,-20.01,57.66,73.99,81,29,5.99
93,Kudahuvadhoo,MV,2020-11-09 02:23:15,2.67,72.89,83.68,72,31,5.37
94,Pijijiapan,MX,2020-11-09 02:23:16,15.7,-93.23,77.25,76,25,3.15
95,Spruce Grove,CA,2020-11-09 02:23:16,53.53,-113.92,19.0,85,90,2.24
96,Hualmay,PE,2020-11-09 02:23:16,-11.1,-77.61,61.07,87,32,8.75
97,Kahului,US,2020-11-09 02:19:48,20.89,-156.47,87.8,48,20,19.46
98,Rocha,UY,2020-11-09 02:23:17,-34.48,-54.33,54.19,94,65,3.83
99,Faanui,PF,2020-11-09 02:23:17,-16.48,-151.75,79.03,77,88,15.55
100,Hit,IQ,2020-11-09 02:23:17,33.64,42.83,66.47,48,50,7.49
101,Nikolskoye,RU,2020-11-09 02:23:18,59.7,30.79,30.99,86,20,4.47
102,Algiers,DZ,2020-11-09 02:23:18,36.75,3.04,59.0,93,75,8.77
103,Vostok,RU,2020-11-09 02:19:13,46.49,135.88,18.52,94,100,7.72
104,Burnie,AU,2020-11-09 02:23:18,-41.07,145.92,64.0,51,69,8.99
105,Bouca,CF,2020-11-09 02:23:18,6.51,18.27,71.44,78,25,1.66
106,Sobolevo,RU,2020-11-09 02:23:18,54.43,31.9,35.55,87,0,5.55
107,Megion,RU,2020-11-09 02:23:18,61.03,76.11,32.0,98,40,8.95
108,Innisfail,AU,2020-11-09 02:23:19,-17.53,146.03,81.32,61,94,11.27
109,Ulladulla,AU,2020-11-09 02:23:19,-35.35,150.47,66.99,52,75,4.7
110,Port Blair,IN,2020-11-09 02:23:19,11.67,92.75,83.16,77,49,11.59
111,Kaka,TM,2020-11-09 02:23:19,37.35,59.61,49.53,68,94,1.01
112,Kapit,MY,2020-11-09 02:23:19,2.02,112.93,83.23,72,100,2.75
113,Kokkola,FI,2020-11-09 02:23:20,63.84,23.13,41.0,100,0,5.82
114,Ponta Do Sol,PT,2020-11-09 02:23:20,32.67,-17.1,64.4,63,20,8.05
115,Fare,PF,2020-11-09 02:23:20,-16.7,-151.02,79.29,78,73,15.64
116,Thinadhoo,MV,2020-11-09 02:23:20,0.53,72.93,83.84,75,85,10.67
117,Padang,ID,2020-11-09 02:21:37,-0.95,100.35,83.21,65,76,0.31
118,Souillac,MU,2020-11-09 02:23:20,-20.52,57.52,73.4,88,40,11.41
119,Roebourne,AU,2020-11-09 02:23:21,-20.78,117.13,90.63,21,0,10.76
120,Codajas,BR,2020-11-09 02:23:21,-3.84,-62.06,73.47,97,79,3.15
121,Panaba,MX,2020-11-09 02:23:21,21.28,-88.27,74.55,89,2,7.67
122,Geraldton,AU,2020-11-09 02:23:21,-28.77,114.6,73.4,56,75,21.92
123,Gazimurskiy Zavod,RU,2020-11-09 02:23:22,51.55,118.33,15.94,87,0,1.48
124,Matay,EG,2020-11-09 02:23:22,28.42,30.78,62.58,76,17,6.04
125,Kokoda,PG,2020-11-09 02:23:23,-8.88,147.74,84.81,60,43,4.65
126,Jamestown,US,2020-11-09 02:23:23,42.1,-79.24,57.2,50,1,3.22
127,Hithadhoo,MV,2020-11-09 02:23:23,-0.6,73.08,83.98,71,37,7.72
128,Oktyabrskiy,RU,2020-11-09 02:23:23,54.48,53.47,31.89,92,66,11.27
129,Hohhot,CN,2020-11-09 02:23:23,40.81,111.65,32.0,54,0,4.47
130,Xining,CN,2020-11-09 02:23:23,36.62,101.77,38.57,55,0,1.5
131,Tuatapere,NZ,2020-11-09 02:23:24,-46.13,167.68,57.0,68,99,5.01
132,Viedma,AR,2020-11-09 02:23:24,-40.81,-63.0,61.0,88,4,11.9
133,Akdepe,TM,2020-11-09 02:23:24,42.06,59.38,32.0,81,0,2.24
134,Ierapetra,GR,2020-11-09 02:23:24,35.01,25.74,66.0,62,70,11.01
